1,-10,-50,-60,-60,Success
2,-10,-49,-59,-59,Success
3,-10,499,489,489,Success
4,-10,500,490,490,Success
5,-10,225,215,215,Success
6,-9,-50,-59,-59,Success
7,-9,-49,-58,-58,Success
8,-9,499,490,490,Success
9,-9,500,491,491,Success
10,-9,225,216,216,Success
11,99,-50,49,49,Success
12,99,-49,50,50,Success
13,99,499,598,598,Success
14,99,500,599,599,Success
15,99,225,324,324,Success
16,100,-50,50,50,Success
17,100,-49,51,51,Success
18,100,499,599,599,Success
19,100,500,600,600,Success
20,100,225,325,325,Success
21,45,-50,-5,-5,Success
22,45,-49,-4,-4,Success
23,45,499,544,544,Success
24,45,500,545,545,Success
25,45,225,270,270,Success
